id	sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96
TOB5_000000016	79	80	86	3	23	60	68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	17	0	0	0	15	14	2	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	18	0
TOB5_000000017	68	6	19	1	6	1	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	1	2	2	1	1	0	0	0	0	0	0	8	9	1	5	6	12	7	2	5	1	0
TOB5_000000018	29	29	12	5	2	2	22	5	0	2	16	7	0	0	0	1	0	1	0	1	4	0	6	0	0	0	0	2	2	0	2	0	0	0	21	1	0	0	0	0	12	0	1	6	18	8	0	2	0	0	0	37	0	5	6	1	7	8	12	0	3	27	1	0	0	0	0	0	0	0	5	1	0	8	2	15	4	9	1	1	3	1	5	9	13	0	0	0	1	4	7	3	0	1	16	0
TOB5_000000019	128	250	253	47	73	26	50	86	15	86	114	20	99	0	79	18	45	3	1	3	4	2	68	429	0	596	0	3	12	2	68	1	9	0	1	79	0	2	1	0	7	0	320	2	55	38	130	72	27	25	21	233	59	150	115	62	40	67	182	9	20	175	72	0	0	0	1	1	0	36	60	15	10	28	41	46	11	26	4	5	19	3	5	13	29	49	70	8	8	53	40	34	0	20	23	0
TOB5_000000020	38	26	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000021	44	18	50	12	13	15	18	11	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	2	2	17	0	0	0	0	0	2	0	0	1	0	2	4	5	1	1	2	3	0	0	0	0	0	0	23	26	39	1	4	21	5	3	4	45	21	3	22	40	85	29	1	0	0	0	0	2	1	0	0	4	0
TOB5_000000022	26	3	3	0	1	2	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	1	0	0	0	0	0	0	4	19	19	1	0	0	5	1	6	2	2	0	0	1	1	1	0	1	0	0	0	2	1	0	0	7	0
TOB5_000000023	32	14	46	12	8	10	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	49	5	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000024	46	4	17	8	1	2	8	13	0	0	4	3	0	0	0	0	1	1	0	0	1	0	1	1	0	2	0	2	1	0	0	1	0	0	2	2	2	0	1	0	1	1	2	1	2	4	0	0	0	0	0	4	0	2	1	1	4	1	4	2	1	8	4	0	0	0	0	0	0	3	46	14	1	2	3	8	5	10	1	1	1	0	0	1	2	4	2	1	3	3	15	8	3	2	13	0
TOB5_000000027	35	182	18	6	5	19	25	91	0	2	197	38	1	0	2	0	3	178	16	10	4	6	2	2	0	8	23	376	4	7	27	4	12	1	12	17	40	236	47	34	838	2	6	3	13	14	2	2	1	1	1	37	5	9	44	6	10	32	61	4	6	103	21	1	1	3	1	5	0	18	14	13	2	5	5	13	6	6	28	13	23	3	31	45	21	46	36	10	9	32	175	85	33	30	6	0
