id	Kingdom	Phylum	Class	Order	Family	Genus	Species
TOB5_000063692	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass
TOB5_000063769	Rhizaria	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Thaumatomastix	Thaumatomastix_unclass
TOB5_000063781	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000063806	Stramenopiles	Bacillariophyta	Bacillariophyta_unclass	Bacillariophyta_unclass	Bacillariophyta_unclass	Bacillariophyta_unclass	Bacillariophyta_unclass
TOB5_000063812	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_unclass	Bacillariophyceae_unclass	Bacillariophyceae_unclass	Bacillariophyceae_unclass
TOB5_000063823	Rhizaria	Cercozoa	Sarcomonadea	Cercomonadida	Cercomonadidae	Eocercomonas	Eocercomonas exploratorii
TOB5_000063825	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000063827	Rhizaria	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Thaumatomastix	Thaumatomastix_unclass
TOB5_000063842	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_unclass	Bacillariophyceae_unclass	Bacillariophyceae_unclass	Bacillariophyceae_unclass
TOB5_000063843	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000063850	Rhizaria	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis_unclass
TOB5_000063869	Opisthokonta	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass
TOB5_000063892	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
